,name,date,text,stars,answer,load_time
0,Лилия Т.,2019-12-28 07:26:16,"Чтобы чаще работал, банкоматов поставить!!!!",2,,2024-05-16 14:55:57
1,Валентина Г.,2020-02-08 20:20:33,Сколько можно повторять одно и тоже,5,,2024-05-16 14:55:57
2,Татьяна Верведа,2019-11-16 15:41:30,",как не прийдеш, то денег нет, даже 1тыс",1,,2024-05-16 14:55:57
3,Анастасия С.,2019-10-31 14:33:12,Мало рабочих дней. И нет банкомата,5,,2024-05-16 14:55:57
4,Светланая,2019-11-25 06:27:14,"Поставьте банкомат в хуторе,",5,,2024-05-16 14:55:57
