,name,date,text,stars,answer
42,Алексей Шиянов,2022-09-21 05:25:34,Отсутствует кредитный отдел,5,
43,ТаКа,2020-11-17 18:51:57,"Вежливые и терпеливые сотрудники, помогают в решении всех проблем.",4,
44,Александр Сухов,2021-08-07 12:56:08,Маленькое отделение. Работает всего одно окно. Народу не развернуться.,3,
45,Кирилова Маргарита,2021-12-04 14:31:45,Хорошее качественное обслуживание,5,
46,игорь новицкий,2022-05-04 18:49:04,Один банк на всю меснасть.,5,
47,Анна Тыжненко,2021-12-28 17:16:39,Один единственный на весь микрорайон,4,
48,Viktor02,2021-10-22 09:17:14,Ну очень долго обслуживают!!! Нет талончиков!,1,
49,Андрей,2021-09-05 15:25:00,"Бывает много людей, помещение маленькое.",4,
50,Umeda,2021-12-12 13:55:08,"Тесновато, где аппараты стоят.",4,
51,Денис,2022-01-11 17:47:24,"мало места,но душевно",5,
52,Мария Кудрявцева,2022-01-26 13:30:45,Безумные очереди в дни оплаты квартплаты,1,
53,равиль салихов,2020-02-02 11:00:19,"Слишком большая очередь ,постоянно.Жителей много и всего 1 сберкасса на весь растущий микро район.",3,
54,Дмитрий Ф,2019-10-14 08:03:39,"В основном всегда много народа, поэтому посидеть придется. Маловато одного такого филиала на такой поселок!!!",3,
55,Серж Я,2021-09-13 17:08:24,Отвратные банкоматы денег не снять почти ни когда!!,1,
56,Lora Belayeva,2021-12-30 12:28:15,"Колхоз,а не сбербанк,ужас......",4,
57,Илья,2021-05-04 08:25:41,"Можно вспомнить времена перестройки по тому, какие очереди.",2,
58,Сергей,2021-11-02 10:07:38,Очень нравится персонал.,5,
59,Сурен,2021-08-16 17:06:01,"Профессионально, быстро.",5,
60,Олег Киселев,2020-06-05 01:34:29,"Часто не работает один из автоматов выдачи денег,в поселке где практически негде снять наличные деньги",2,
61,Алексей Булдаков,2021-08-12 17:16:53,"Всегда очередь, персонал не успевает.",3,
62,Hulkplay H.,2020-10-27 05:56:43,Сбербанк все удобно но касс очень мало,5,
63,Елена Ефимова,2021-09-04 14:50:10,Обычное отделение Сбербанка,5,
